"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
,1/1/1993,"7,185","2,674","4,511","1,052",796,169,87,988,6.08%,2.706
,1/1/1994,"7,166","2,739","4,427","1,065",813,166,86,"1,000",6.10%,2.739
,1/1/1995,"7,123","2,711","4,412","1,079",830,164,85,"1,012",6.21%,2.679
,1/1/1996,"7,226","2,711","4,515","1,079",834,161,84,"1,012",6.21%,2.679
,1/1/1997,"7,283","2,760","4,523","1,086",845,159,82,"1,018",6.26%,2.711
,1/1/1998,"7,048","2,804","4,244","1,097",860,156,81,"1,028",6.29%,2.728
,1/1/1999,"7,248","2,820","4,428","1,110",876,154,80,"1,040",6.31%,2.712
,1/1/2000,"7,151","2,868","4,283","1,143",914,151,78,"1,070",6.39%,2.680
,4/1/2000,"7,129","2,898","4,231","1,155",926,151,78,"1,081",6.41%,2.681
,,,,,,,,,,,
Amador,4/1/1990,"3,545","3,264",281,"1,618",966,437,215,"1,508",6.80%,2.164
Jackson,1/1/1991,"3,605","3,315",290,"1,651","1,002",434,215,"1,540",6.72%,2.153
,1/1/1992,"3,724","3,441",283,"1,692","1,049",429,214,"1,579",6.68%,2.179
,1/1/1993,"3,787","3,512",275,"1,740","1,099",427,214,"1,625",6.61%,2.161
,1/1/1994,"3,863","3,575",288,"1,762","1,126",422,214,"1,648",6.47%,2.169
,1/1/1995,"3,840","3,532",308,"1,789","1,157",418,214,"1,675",6.37%,2.109
,1/1/1996,"3,853","3,552",301,"1,803","1,176",414,213,"1,688",6.38%,2.104
,1/1/1997,"3,887","3,594",293,"1,811","1,188",410,213,"1,697",6.29%,2.118
,1/1/1998,"3,935","3,650",285,"1,828","1,210",405,213,"1,714",6.24%,2.130
,1/1/1999,"3,918","3,640",278,"1,840","1,227",401,212,"1,726",6.20%,2.109
,1/1/2000,"3,983","3,713",270,"1,856","1,248",396,212,"1,743",6.09%,2.130
,4/1/2000,"3,989","3,721",268,"1,859","1,252",395,212,"1,746",6.08%,2.131
,,,,,,,,,,,
Amador,4/1/1990,811,809,2,359,222,41,96,328,8.64%,2.466
Plymouth,1/1/1991,827,825,2,369,230,42,97,336,8.94%,2.455
,1/1/1992,855,853,2,381,239,43,99,343,9.97%,2.487
,1/1/1993,864,863,1,389,246,43,100,348,10.54%,2.480
,1/1/1994,890,889,1,397,251,44,102,352,11.34%,2.526
,1/1/1995,885,884,1,405,257,45,103,358,11.60%,2.469
,1/1/1996,899,898,1,415,264,46,105,364,12.29%,2.467
,1/1/1997,918,917,1,423,270,47,106,369,12.77%,2.485
,1/1/1998,935,935,0,432,276,48,108,374,13.43%,2.500
,1/1/1999,943,943,0,441,282,49,110,380,13.83%,2.482
,1/1/2000,976,976,0,455,290,50,115,391,14.07%,2.496
,4/1/2000,980,980,0,457,292,50,115,392,14.22%,2.500
,,,,,,,,,,,
Amador,4/1/1990,"1,835","1,835",0,952,672,202,78,842,11.55%,2.179
Sutter Creek,1/1/1991,"1,877","1,877",0,982,690,215,77,872,11.20%,2.153
,1/1/1992,"1,927","1,927",0,996,710,210,76,889,10.74%,2.168
,1/1/1993,"2,001","2,001",0,"1,017",734,207,76,912,10.32%,2.194
,1/1/1994,"2,058","2,058",0,"1,031",750,206,75,929,9.89%,2.215
,1/1/1995,"2,096","2,096",0,"1,043",768,201,74,944,9.49%,2.220
,1/1/1996,"2,113","2,112",1,"1,048",779,196,73,953,9.06%,2.216
,1/1/1997,"2,165","2,164",1,"1,061",794,195,72,970,8.58%,2.231
,1/1/1998,"2,213","2,212",1,"1,075",808,196,71,987,8.19%,2.241
,1/1/1999,"2,215","2,214",1,"1,080",818,191,71,997,7.69%,2.221
,1/1/2000,"2,284","2,283",1,"1,098",839,188,71,"1,017",7.38%,2.245
,4/1/2000,"2,303","2,302",1,"1,106",846,188,72,"1,025",7.32%,2.246
,,,,,,,,,,,
Amador,4/1/1990,"12,903","8,375","4,528","3,926","2,650",827,449,"3,613",7.97%,2.318
Incorporated,1/1/1991,"13,638","8,606","5,032","4,042","2,738",856,448,"3,723",7.89%,2.312
,1/1/1992,"13,809","9,020","4,789","4,184","2,842",863,479,"3,858",7.79%,2.338
,1/1/1993,"14,035","9,248","4,787","4,285","2,952",855,478,"3,952",7.77%,2.340
,1/1/1994,"14,176","9,460","4,716","4,343","3,019",846,478,"4,009",7.69%,2.360
,1/1/1995,"14,141","9,420","4,721","4,404","3,091",836,477,"4,070",7.58%,2.314
,1/1/1996,"14,284","9,466","4,818","4,433","3,133",824,476,"4,098",7.56%,2.310
,1/1/1997,"14,447","9,629","4,818","4,469","3,177",818,474,"4,136",7.45%,2.328
,1/1/1998,"14,324","9,794","4,530","4,520","3,237",810,473,"4,184",7.43%,2.341
,1/1/1999,"14,514","9,807","4,707","4,559","3,286",800,473,"4,225",7.33%,2.321
,1/1/2000,"14,589","10,035","4,554","4,642","3,377",789,476,"4,305",7.26%,2.331
,4/1/2000,"14,597","10,097","4,500","4,668","3,402",789,477,"4,329",7.26%,2.332
,,,,,,,,,,,
Amador,4/1/1990,"17,136","16,958",178,"8,888","7,742",203,943,"6,905",22.31%,2.456
Balance of County,1/1/1991,"17,411","17,245",166,"9,042","7,894",196,952,"7,053",22.00%,2.445
,1/1/1992,"18,099","17,953",146,"9,304","8,152",184,968,"7,294",21.60%,2.461
,1/1/1993,"18,500","18,363",137,"9,543","8,389",172,982,"7,518",21.22%,2.443
,1/1/1994,"18,868","18,729",139,"9,694","8,532",164,998,"7,672",20.86%,2.441
,1/1/1995,"19,152","19,027",125,"9,814","8,653",151,"1,010","7,803",20.49%,2.438
,1/1/1996,"19,319","19,204",115,"9,927","8,765",143,"1,019","7,929",20.13%,2.422
,1/1/1997,"19,702","19,587",115,"10,045","8,882",131,"1,032","8,058",19.78%,2.431
,1/1/1998,"19,971","19,877",94,"10,130","8,974",123,"1,033","8,163",19.42%,2.435
,1/1/1999,"19,919","19,840",79,"10,210","9,063",125,"1,022","8,262",19.08%,2.401
,1/1/2000,"20,401","20,327",74,"10,322","9,186",124,"1,012","8,386",18.76%,2.424
,4/1/2000,"20,503","20,422",81,"10,367","9,225",133,"1,009","8,430",18.68%,2.423
,,,,,,,,,,,
Amador,4/1/1990,"30,039","25,333","4,706","12,814","10,392","1,030","1,392","10,518",17.92%,2.409
County Total,1/1/1991,"31,049","25,851","5,198","13,084","10,632","1,052","1,400","10,776",17.64%,2.399
,1/1/1992,"31,908","26,973","4,935","13,488","10,994","1,047","1,447","11,152",17.32%,2.419
,1/1/1993,"32,535","27,611","4,924","13,828","11,341","1,027","1,460","11,470",17.05%,2.407
,1/1/1994,"33,044","28,189","4,855","14,037","11,551","1,010","1,476","11,681",16.78%,2.413
,1/1/1995,"33,293","28,447","4,846","14,218","11,744",987,"1,487","11,873",16.49%,2.396
,1/1/1996,"33,603","28,670","4,933","14,360","11,898",967,"1,495","12,027",16.25%,2.384
,1/1/1997,"34,149","29,216","4,933","14,514","12,059",949,"1,506","12,194",15.98%,2.396
,1/1/1998,"34,295","29,671","4,624","14,650","12,211",933,"1,506","12,347",15.72%,2.403
,1/1/1999,"34,433","29,647","4,786","14,769","12,349",925,"1,495","12,487",15.45%,2.374
,1/1/2000,"34,990","30,362","4,628","14,964","12,563",913,"1,488","12,691",15.19%,2.392
,4/1/2000,"35,100","30,519","4,581","15,035","12,627",922,"1,486","12,759",15.14%,2.392
,,,,,,,,,,,
Butte,4/1/1990,"1,581","1,581",0,548,453,48,47,521,4.93%,3.035
Biggs,1/1/1991,"1,640","1,640",0,566,472,47,47,537,5.12%,3.054
,1/1/1992,"1,650","1,650",0,566,475,45,46,536,5.30%,3.078
,1/1/1993,"1,643","1,643",0,566,476,44,46,535,5.48%,3.071
,1/1/1994,"1,642","1,642",0,566,477,43,46,534,5.65%,3.075
,1/1/1995,"1,678","1,678",0,573,487,41,45,540,5.76%,3.107
,1/1/1996,"1,679","1,679",0,574,490,39,45,539,6.10%,3.115
,1/1/1997,"1,717","1,717",0,587,501,38,48,550,6.30%,3.122
,1/1/1998,"1,722","1,722",0,587,502,37,48,548,6.64%,3.142
,1/1/1999,"1,790","1,790",0,612,529,35,48,571,6.70%,3.135
,1/1/2000,"1,792","1,792",0,613,533,33,47,571,6.85%,3.138
,4/1/2000,"1,793","1,793",0,613,533,33,47,571,6.85%,3.140
,,,,,,,,,,,
Butte,4/1/1990,"39,970","36,871","3,099","16,248","7,606","8,340",302,"15,463",4.83%,2.384
Chico,1/1/1991,"41,210","38,205","3,005","16,786","7,914","8,532",340,"15,994",4.72%,2.389
,1/1/1992,"44,082","41,172","2,910","18,067","8,328","9,388",351,"17,238",4.59%,2.388
,1/1/1993,"45,973","42,846","3,127","18,877","8,777","9,742",358,"18,034",4.47%,2.376
,1/1/1994,"47,185","44,046","3,139","19,356","9,210","9,781",365,"18,515",4.34%,2.379
,1/1/1995,"49,178","45,980","3,198","19,785","9,546","9,864",375,"18,948",4.23%,2.427
,1/1/1996,"50,395","47,112","3,283","20,229","9,887","9,941",401,"19,396",4.12%,2.429
,1/1/1997,"53,598","50,219","3,379","21,580","10,716","10,316",548,"20,722",3.98%,2.423
,1/1/1998,"56,472","52,985","3,487","22,689","11,481","10,632",576,"21,803",3.90%,2.430
,1/1/1999,"58,520","54,969","3,551","23,558","12,135","10,799",624,"22,656",3.83%,2.426
,1/1/2000,"60,199","56,589","3,610","24,283","12,720","10,932",631,"23,372",3.75%,2.421
,4/1/2000,"60,516","56,891","3,625","24,386","12,819","10,934",633,"23,476",3.73%,2.423
,,,,,,,,,,,
Butte,4/1/1990,"4,631","4,614",17,"1,810","1,518",274,18,"1,719",5.03%,2.684
Gridley,1/1/1991,"4,684","4,658",26,"1,810","1,518",272,20,"1,718",5.08%,2.711
,1/1/1992,"4,774","4,738",36,"1,831","1,541",269,21,"1,735",5.24%,2.731
,1/1/1993,"4,801","4,754",47,"1,833","1,545",265,23,"1,735",5.35%,2.740
,1/1/1994,"4,892","4,835",57,"1,869","1,561",283,25,"1,767",5.46%,2.736
,1/1/1995,"4,997","4,930",67,"1,870","1,562",281,27,"1,765",5.61%,2.793
,1/1/1996,"5,023","4,945",78,"1,869","1,562",278,29,"1,762",5.72%,2.806
,1/1/1997,"5,133","5,045",88,"1,901","1,597",273,31,"1,790",5.84%,2.818
,1/1/1998,"5,189","5,090",99,"1,906","1,603",271,32,"1,792",5.98%,2.840
,1/1/1999,"5,368","5,259",109,"1,969","1,618",279,72,"1,850",6.04%,2.843
,1/1/2000,"5,401","5,282",119,"1,974","1,623",277,74,"1,853",6.13%,2.851
,4/1/2000,"5,408","5,286",122,"1,973","1,623",276,74,"1,851",6.18%,2.856
,,,,,,,,,,,
Butte,4/1/1990,"11,885","11,228",657,"4,809","2,709","1,768",331,"4,491",6.61%,2.500
Oroville,1/1/1991,"12,144","11,487",657,"4,882","2,774","1,772",336,"4,545",6.90%,2.527
,1/1/1992,"12,173","11,498",675,"4,908","2,791","1,776",341,"4,552",7.25%,2.526
,1/1/1993,"12,255","11,563",692,"4,959","2,821","1,792",346,"4,581",7.62%,2.524
,1/1/1994,"12,386","11,676",710,"5,008","2,857","1,801",350,"4,609",7.97%,2.533
,1/1/1995,"12,507","11,779",728,"5,195","2,879","1,961",355,"4,766",8.26%,2.471
,1/1/1996,"12,717","11,972",745,"5,287","2,963","1,964",360,"4,834",8.57%,2.477
,1/1/1997,"12,796","12,033",763,"5,324","2,994","1,965",365,"4,851",8.88%,2.481
,1/1/1998,"12,855","12,075",780,"5,336","3,002","1,965",369,"4,844",9.22%,2.493
,1/1/1999,"12,993","12,195",798,"5,409","3,008","2,027",374,"4,894",9.52%,2.492
,1/1/2000,"12,990","12,174",816,"5,417","3,012","2,027",378,"4,884",9.84%,2.493
,4/1/2000,"13,004","12,184",820,"5,419","3,013","2,027",379,"4,881",9.93%,2.496
,,,,,,,,,,,
Butte,4/1/1990,"25,401","24,957",444,"11,631","8,111","1,110","2,411","11,043",5.06%,2.260
Paradise,1/1/1991,"25,599","25,125",474,"11,771","8,225","1,114","2,432","11,165",5.15%,2.250
,1/1/1992,"25,768","25,278",490,"11,850","8,311","1,096","2,443","11,223",5.29%,2.252
,1/1/1993,"25,885","25,380",505,"11,940","8,411","1,081","2,448","11,293",5.42%,2.247
,1/1/1994,"26,127","25,606",521,"12,008","8,492","1,068","2,448","11,342",5.55%,2.258
,1/1/1995,"26,132","25,595",537,"12,095","8,563","1,062","2,470","11,409",5.67%,2.243
,1/1/1996,"26,186","25,633",553,"12,149","8,629","1,050","2,470","11,445",5.79%,2.240
,1/1/1997,"26,188","25,619",569,"12,181","8,680","1,031","2,470","11,460",5.92%,2.236
,1/1/1998,"26,342","25,758",584,"12,248","8,739","1,040","2,469","11,507",6.05%,2.238
,1/1/1999,"26,342","25,742",600,"12,303","8,792","1,042","2,469","11,544",6.17%,2.230
,1/1/2000,"26,371","25,755",616,"12,359","8,856","1,034","2,469","11,581",6.30%,2.224
,4/1/2000,"26,408","25,788",620,"12,374","8,874","1,031","2,469","11,591",6.33%,2.225
,,,,,,,,,,,
Butte,4/1/1990,"83,468","79,251","4,217","35,046","20,397","11,540","3,109","33,237",5.16%,2.384
Incorporated,1/1/1991,"85,277","81,115","4,162","35,815","20,903","11,737","3,175","33,959",5.18%,2.389
,1/1/1992,"88,447","84,336","4,111","37,222","21,446","12,574","3,202","35,284",5.21%,2.390
,1/1/1993,"90,557","86,186","4,371","38,175","22,030","12,924","3,221","36,178",5.23%,2.382
,1/1/1994,"92,232","87,805","4,427","38,807","22,597","12,976","3,234","36,767",5.26%,2.388
,1/1/1995,"94,492","89,962","4,530","39,518","23,037","13,209","3,272","37,428",5.29%,2.404
,1/1/1996,"96,000","91,341","4,659","40,108","23,531","13,272","3,305","37,976",5.32%,2.405
,1/1/1997,"99,432","94,633","4,799","41,573","24,488","13,623","3,462","39,373",5.29%,2.403
,1/1/1998,"102,580","97,630","4,950","42,766","25,327","13,945","3,494","40,494",5.31%,2.411
,1/1/1999,"105,013","99,955","5,058","43,851","26,082","14,182","3,587","41,515",5.33%,2.408
,1/1/2000,"106,753","101,592","5,161","44,646","26,744","14,303","3,599","42,261",5.34%,2.404
,4/1/2000,"107,129","101,942","5,187","44,765","26,862","14,301","3,602","42,370",5.35%,2.406
,,,,,,,,,,,
Butte,4/1/1990,"98,652","98,164",488,"41,069","25,868","4,824","10,377","38,428",6.43%,2.554
Balance of County,1/1/1991,"100,116","99,595",521,"41,652","26,373","4,761","10,518","38,904",6.60%,2.560
,1/1/1992,"100,686","100,150",536,"42,198","26,878","4,663","10,657","39,320",6.82%,2.547
,1/1/1993,"101,201","100,651",550,"42,633","27,260","4,575","10,798","39,635",7.03%,2.539
,1/1/1994,"101,835","101,270",565,"42,727","27,319","4,501","10,907","39,630",7.25%,2.555
,1/1/1995,"101,902","101,322",580,"42,918","27,568","4,396","10,954","39,715",7.46%,2.551
,1/1/1996,"101,611","101,016",595,"42,871","27,581","4,283","11,007","39,577",7.68%,2.552
,1/1/1997,"99,264","98,655",609,"41,928","27,225","3,837","10,866","38,602",7.93%,2.556
,1/1/1998,"97,437","96,813",624,"41,095","26,924","3,449","10,722","37,729",8.19%,2.566
,1/1/1999,"96,009","95,370",639,"40,672","26,883","3,174","10,615","37,233",8.46%,2.561
,1/1/2000,"95,905","95,252",653,"40,715","27,101","3,014","10,600","37,179",8.68%,2.562
,4/1/2000,"96,042","95,385",657,"40,758","27,179","2,986","10,593","37,196",8.74%,2.564
,,,,,,,,,,,
Butte,4/1/1990,"182,120","177,415","4,705","76,115","46,265","16,364","13,486","71,665",5.85%,2.476
County Total,1/1/1991,"185,393","180,710","4,683","77,467","47,276","16,498","13,693","72,863",5.94%,2.480
,1/1/1992,"189,133","184,486","4,647","79,420","48,324","17,237","13,859","74,604",6.06%,2.473
,1/1/1993,"191,758","186,837","4,921","80,808","49,290","17,499","14,019","75,813",6.18%,2.464
,1/1/1994,"194,067","189,075","4,992","81,534","49,916","17,477","14,141","76,397",6.30%,2.475
,1/1/1995,"196,394","191,284","5,110","82,436","50,605","17,605","14,226","77,143",6.42%,2.480
,1/1/1996,"197,611","192,357","5,254","82,979","51,112","17,555","14,312","77,553",6.54%,2.480
,1/1/1997,"198,696","193,288","5,408","83,501","51,713","17,460","14,328","77,975",6.62%,2.479
,1/1/1998,"200,017","194,443","5,574","83,861","52,251","17,394","14,216","78,223",6.72%,2.486
,1/1/1999,"201,022","195,325","5,697","84,523","52,965","17,356","14,202","78,748",6.83%,2.480
,1/1/2000,"202,658","196,844","5,814","85,361","53,845","17,317","14,199","79,440",6.94%,2.478
,4/1/2000,"203,171","197,327","5,844","85,523","54,041","17,287","14,195","79,566",6.97%,2.480
,,,,,,,,,,,
Calaveras,4/1/1990,"2,582","2,560",22,"1,229",776,231,222,"1,107",9.93%,2.313
Angels City,1/1/1991,"2,644","2,620",24,"1,251",797,233,221,"1,127",9.91%,2.325
,1/1/1992,"2,731","2,710",21,"1,263",809,233,221,"1,139",9.82%,2.379
,1/1/1993,"2,734","2,715",19,"1,274",820,233,221,"1,149",9.81%,2.363
,1/1/1994,"2,775","2,759",16,"1,285",831,234,220,"1,159",9.81%,2.381
,1/1/1995,"2,824","2,810",14,"1,298",845,234,219,"1,171",9.78%,2.400
,1/1/1996,"2,827","2,816",11,"1,307",855,234,218,"1,180",9.72%,2.386
,1/1/1997,"2,870","2,862",8,"1,324",873,234,217,"1,196",9.67%,2.393
,1/1/1998,"2,909","2,903",6,"1,342",891,235,216,"1,213",9.61%,2.393
,1/1/1999,"2,918","2,915",3,"1,366",917,234,215,"1,235",9.59%,2.360
,1/1/2000,"2,991","2,990",1,"1,412",963,235,214,"1,277",9.56%,2.341
,4/1/2000,"3,004","3,004",0,"1,422",973,235,214,"1,286",9.56%,2.336
,,,,,,,,,,,
Calaveras,4/1/1990,"2,582","2,560",22,"1,229",776,231,222,"1,107",9.93%,2.313
Incorporated,1/1/1991,"2,644","2,620",24,"1,251",797,233,221,"1,127",9.91%,2.325
,1/1/1992,"2,731","2,710",21,"1,263",809,233,221,"1,139",9.82%,2.379
,1/1/1993,"2,734","2,715",19,"1,274",820,233,221,"1,149",9.81%,2.363
,1/1/1994,"2,775","2,759",16,"1,285",831,234,220,"1,159",9.81%,2.381
,1/1/1995,"2,824","2,810",14,"1,298",845,234,219,"1,171",9.78%,2.400
,1/1/1996,"2,827","2,816",11,"1,307",855,234,218,"1,180",9.72%,2.386
,1/1/1997,"2,870","2,862",8,"1,324",873,234,217,"1,196",9.67%,2.393
,1/1/1998,"2,909","2,903",6,"1,342",891,235,216,"1,213",9.61%,2.393
,1/1/1999,"2,918","2,915",3,"1,366",917,234,215,"1,235",9.59%,2.360
,1/1/2000,"2,991","2,990",1,"1,412",963,235,214,"1,277",9.56%,2.341
,4/1/2000,"3,004","3,004",0,"1,422",973,235,214,"1,286",9.56%,2.336
,,,,,,,,,,,
Calaveras,4/1/1990,"29,416","29,099",317,"17,924","15,118",802,"2,004","11,542",35.61%,2.521
Balance of County,1/1/1991,"30,836","30,518",318,"18,455","15,635",789,"2,031","11,983",35.07%,2.547
,1/1/1992,"32,485","32,143",342,"19,002","16,167",768,"2,067","12,467",34.39%,2.578
,1/1/1993,"33,598","33,247",351,"19,457","16,611",749,"2,097","12,894",33.73%,2.578
,1/1/1994,"34,395","34,033",362,"19,842","16,993",732,"2,117","13,272",33.11%,2.564
,1/1/1995,"35,155","34,782",373,"20,236","17,374",726,"2,136","13,659",32.50%,2.546
,1/1/1996,"35,653","35,270",383,"20,497","17,707",701,"2,089","13,960",31.89%,2.527
,1/1/1997,"36,394","35,998",396,"20,735","18,016",678,"2,041","14,245",31.30%,2.527
,1/1/1998,"36,895","36,491",404,"20,914","18,238",654,"2,022","14,494",30.70%,2.518
,1/1/1999,"37,065","36,649",416,"21,179","18,528",643,"2,008","14,796",30.14%,2.477
,1/1/2000,"37,474","37,049",425,"21,456","18,814",621,"2,021","15,106",29.60%,2.453
,4/1/2000,"37,550","37,125",425,"21,524","18,886",615,"2,023","15,183",29.46%,2.445
,,,,,,,,,,,
Calaveras,4/1/1990,"31,998","31,659",339,"19,153","15,894","1,033","2,226","12,649",33.96%,2.503
County Total,1/1/1991,"33,480","33,138",342,"19,706","16,432","1,022","2,252","13,110",33.47%,2.528
,1/1/1992,"35,216","34,853",363,"20,265","16,976","1,001","2,288","13,606",32.86%,2.562
,1/1/1993,"36,332","35,962",370,"20,731","17,431",982,"2,318","14,043",32.26%,2.561
,1/1/1994,"37,170","36,792",378,"21,127","17,824",966,"2,337","14,431",31.69%,2.550
,1/1/1995,"37,979","37,592",387,"21,534","18,219",960,"2,355","14,830",31.13%,2.535
,1/1/1996,"38,480","38,086",394,"21,804","18,562",935,"2,307","15,140",30.56%,2.516
,1/1/1997,"39,264","38,860",404,"22,059","18,889",912,"2,258","15,441",30.00%,2.517
,1/1/1998,"39,804","39,394",410,"22,256","19,129",889,"2,238","15,707",29.43%,2.508
,1/1/1999,"39,983","39,564",419,"22,545","19,445",877,"2,223","16,031",28.89%,2.468
,1/1/2000,"40,465","40,039",426,"22,868","19,777",856,"2,235","16,383",28.36%,2.444
,4/1/2000,"40,554","40,129",425,"22,946","19,859",850,"2,237","16,469",28.23%,2.437
,,,,,,,,,,,
Colusa,4/1/1990,"4,934","4,861",73,"1,896","1,434",412,50,"1,804",4.85%,2.695
Colusa,1/1/1991,"4,968","4,912",56,"1,913","1,455",408,50,"1,819",4.91%,2.700
,1/1/1992,"5,026","4,968",58,"1,920","1,468",402,50,"1,823",5.05%,2.725
,1/1/1993,"5,053","4,993",60,"1,940","1,500",390,50,"1,841",5.10%,2.712
,1/1/1994,"5,141","5,079",62,"1,970","1,509",411,50,"1,867",5.23%,2.720
,1/1/1995,"5,195","5,131",64,"2,004","1,522",432,50,"1,897",5.34%,2.705
,1/1/1996,"5,238","5,173",65,"1,995","1,523",422,50,"1,886",5.46%,2.743
,1/1/1997,"5,352","5,285",67,"2,018","1,557",411,50,"1,906",5.55%,2.773
,1/1/1998,"5,407","5,338",69,"2,034","1,584",400,50,"1,919",5.65%,2.782
,1/1/1999,"5,375","5,304",71,"2,025","1,587",388,50,"1,908",5.78%,2.780
,1/1/2000,"5,386","5,313",73,"2,018","1,594",374,50,"1,900",5.85%,2.796
,4/1/2000,"5,402","5,329",73,"2,016","1,594",372,50,"1,897",5.90%,2.809
,,,,,,,,,,,
Colusa,4/1/1990,"2,297","2,189",108,764,563,151,50,703,7.98%,3.114
Williams,1/1/1991,"2,434","2,312",122,784,580,153,51,724,7.65%,3.193
,1/1/1992,"2,702","2,566",136,852,639,150,63,790,7.28%,3.248
,1/1/1993,"2,910","2,760",150,899,663,173,63,836,7.01%,3.301
,1/1/1994,"3,095","2,931",164,946,698,180,68,884,6.55%,3.316
,1/1/1995,"3,235","3,057",178,961,705,188,68,900,6.35%,3.397
,1/1/1996,"3,310","3,119",191,954,702,185,67,897,5.97%,3.477
,1/1/1997,"3,383","3,178",205,948,699,182,67,895,5.59%,3.551
,1/1/1998,"3,445","3,226",219,947,700,180,67,898,5.17%,3.592
,1/1/1999,"3,525","3,292",233,956,712,177,67,909,4.92%,3.622
,1/1/2000,"3,646","3,399",247,970,728,175,67,925,4.64%,3.675
,4/1/2000,"3,670","3,420",250,968,727,174,67,924,4.55%,3.701
,,,,,,,,,,,
Colusa,4/1/1990,"7,231","7,050",181,"2,660","1,997",563,100,"2,507",5.75%,2.812
Incorporated,1/1/1991,"7,402","7,224",178,"2,697","2,035",561,101,"2,543",5.71%,2.841
,1/1/1992,"7,728","7,534",194,"2,772","2,107",552,113,"2,613",5.74%,2.883
,1/1/1993,"7,963","7,753",210,"2,839","2,163",563,113,"2,677",5.71%,2.896
,1/1/1994,"8,236","8,010",226,"2,916","2,207",591,118,"2,751",5.66%,2.912
,1/1/1995,"8,430","8,188",242,"2,965","2,227",620,118,"2,797",5.67%,2.927
,1/1/1996,"8,548","8,292",256,"2,949","2,225",607,117,"2,783",5.63%,2.980
,1/1/1997,"8,735","8,463",272,"2,966","2,256",593,117,"2,801",5.56%,3.021
,1/1/1998,"8,852","8,564",288,"2,981","2,284",580,117,"2,817",5.50%,3.040
,1/1/1999,"8,900","8,596",304,"2,981","2,299",565,117,"2,817",5.50%,3.051
,1/1/2000,"9,032","8,712",320,"2,988","2,322",549,117,"2,825",5.46%,3.084
,4/1/2000,"9,072","8,749",323,"2,984","2,321",546,117,"2,821",5.46%,3.101
,,,,,,,,,,,
Colusa,4/1/1990,"9,044","8,871",173,"3,635","2,795",234,606,"3,105",14.58%,2.857
Balance of County,1/1/1991,"9,095","8,909",186,"3,636","2,790",234,612,"3,109",14.49%,2.866
,1/1/1992,"9,110","8,934",176,"3,674","2,798",238,638,"3,146",14.37%,2.840
,1/1/1993,"9,188","9,021",167,"3,696","2,810",238,648,"3,168",14.29%,2.848
