"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
,1/1/2008,"1,228","1,209",19,"1,695","1,029",627,39,491,"1,204",71.03%,2.462
,1/1/2009,"1,194","1,173",21,"1,731","1,048",647,36,496,"1,235",71.35%,2.365
,1/1/2010,"1,178","1,155",23,"1,762","1,053",676,33,499,"1,263",71.68%,2.315
,4/1/2010,"1,175","1,151",24,"1,760","1,052",676,32,497,"1,263",71.76%,2.316
,,,,,,,,,,,,
Amador,4/1/2000,196,196,0,91,86,5,0,85,6,6.59%,2.306
Amador,1/1/2001,199,199,0,93,88,5,0,86,7,7.53%,2.314
,1/1/2002,203,203,0,97,90,7,0,88,9,9.28%,2.307
,1/1/2003,202,202,0,98,92,6,0,88,10,10.20%,2.295
,1/1/2004,201,201,0,100,94,6,0,88,12,12.00%,2.284
,1/1/2005,206,206,0,104,98,6,0,90,14,13.46%,2.289
,1/1/2006,202,202,0,105,98,7,0,89,16,15.24%,2.270
,1/1/2007,199,199,0,106,99,7,0,89,17,16.04%,2.236
,1/1/2008,194,194,0,107,101,6,0,88,19,17.76%,2.205
,1/1/2009,189,189,0,107,101,6,0,87,20,18.69%,2.172
,1/1/2010,187,187,0,108,102,6,0,85,23,21.30%,2.200
,4/1/2010,185,185,0,108,102,6,0,85,23,21.30%,2.176
,,,,,,,,,,,,
Amador,4/1/2000,"7,129","2,898","4,231","1,155",926,151,78,"1,081",74,6.41%,2.681
Ione,1/1/2001,"7,243","3,008","4,235","1,204",979,147,78,"1,122",82,6.81%,2.681
,1/1/2002,"7,474","3,200","4,274","1,286","1,069",142,75,"1,192",94,7.31%,2.685
,1/1/2003,"7,499","3,331","4,168","1,343","1,129",138,76,"1,239",104,7.74%,2.688
,1/1/2004,"7,588","3,401","4,187","1,382","1,177",132,73,"1,269",113,8.18%,2.680
,1/1/2005,"7,643","3,430","4,213","1,413","1,213",130,70,"1,293",120,8.49%,2.653
,1/1/2006,"7,686","3,492","4,194","1,460","1,268",125,67,"1,330",130,8.90%,2.626
,1/1/2007,"7,915","3,561","4,354","1,511","1,329",119,63,"1,372",139,9.20%,2.595
,1/1/2008,"7,567","3,624","3,943","1,561","1,386",115,60,"1,411",150,9.61%,2.568
,1/1/2009,"7,834","3,625","4,209","1,588","1,421",110,57,"1,431",157,9.89%,2.533
,1/1/2010,"7,863","3,700","4,163","1,623","1,463",106,54,"1,457",166,10.23%,2.539
,4/1/2010,"7,918","3,746","4,172","1,635","1,478",104,53,"1,466",169,10.34%,2.555
,,,,,,,,,,,,
Amador,4/1/2000,"3,989","3,721",268,"1,859","1,252",395,212,"1,746",113,6.08%,2.131
Jackson,1/1/2001,"4,029","3,764",265,"1,874","1,261",403,210,"1,753",121,6.46%,2.147
,1/1/2002,"4,098","3,837",261,"1,906","1,283",416,207,"1,772",134,7.03%,2.165
,1/1/2003,"4,175","3,918",257,"1,943","1,297",427,219,"1,797",146,7.51%,2.180
,1/1/2004,"4,242","3,989",253,"1,984","1,319",439,226,"1,825",159,8.01%,2.186
,1/1/2005,"4,408","4,159",249,"2,086","1,393",470,223,"1,910",176,8.44%,2.177
,1/1/2006,"4,541","4,296",245,"2,174","1,472",482,220,"1,983",191,8.79%,2.166
,1/1/2007,"4,581","4,340",241,"2,222","1,511",494,217,"2,017",205,9.23%,2.152
,1/1/2008,"4,615","4,378",237,"2,268","1,542",512,214,"2,050",218,9.61%,2.136
,1/1/2009,"4,600","4,367",233,"2,289","1,550",527,212,"2,060",229,10.00%,2.120
,1/1/2010,"4,638","4,409",229,"2,305","1,559",537,209,"2,064",241,10.46%,2.136
,4/1/2010,"4,651","4,423",228,"2,309","1,561",540,208,"2,065",244,10.57%,2.142
,,,,,,,,,,,,
Amador,4/1/2000,980,980,0,457,292,50,115,392,65,14.22%,2.500
Plymouth,1/1/2001,990,989,1,460,295,50,115,393,67,14.57%,2.517
,1/1/2002,"1,029","1,027",2,478,299,50,129,406,72,15.06%,2.530
,1/1/2003,"1,072","1,070",2,498,301,50,147,421,77,15.46%,2.542
,1/1/2004,"1,060","1,057",3,495,300,50,145,416,79,15.96%,2.541
,1/1/2005,"1,053","1,049",4,497,305,50,142,416,81,16.30%,2.522
,1/1/2006,"1,045","1,040",5,499,309,48,142,416,83,16.63%,2.500
,1/1/2007,"1,028","1,022",6,497,308,48,141,413,84,16.90%,2.475
,1/1/2008,"1,024","1,017",7,496,307,48,141,410,86,17.34%,2.480
,1/1/2009,"1,006",998,8,495,306,48,141,407,88,17.78%,2.452
,1/1/2010,"1,004",995,9,493,305,48,140,404,89,18.05%,2.463
,4/1/2010,"1,005",996,9,493,305,48,140,403,90,18.26%,2.471
,,,,,,,,,,,,
Amador,4/1/2000,"2,303","2,302",1,"1,106",846,188,72,"1,025",81,7.32%,2.246
Sutter Creek,1/1/2001,"2,320","2,319",1,"1,119",846,194,79,"1,029",90,8.04%,2.254
,1/1/2002,"2,348","2,347",1,"1,141",854,202,85,"1,040",101,8.85%,2.257
,1/1/2003,"2,405","2,404",1,"1,178",859,230,89,"1,064",114,9.68%,2.259
,1/1/2004,"2,426","2,425",1,"1,203",877,234,92,"1,077",126,10.47%,2.252
,1/1/2005,"2,636","2,635",1,"1,327",875,356,96,"1,182",145,10.93%,2.229
,1/1/2006,"2,618","2,617",1,"1,342",883,360,99,"1,186",156,11.62%,2.207
,1/1/2007,"2,591","2,590",1,"1,357",890,365,102,"1,191",166,12.23%,2.175
,1/1/2008,"2,576","2,575",1,"1,365",892,369,104,"1,188",177,12.97%,2.168
,1/1/2009,"2,519","2,518",1,"1,366",885,374,107,"1,179",187,13.69%,2.136
,1/1/2010,"2,503","2,502",1,"1,367",879,378,110,"1,170",197,14.41%,2.138
,4/1/2010,"2,501","2,500",1,"1,367",877,379,111,"1,168",199,14.56%,2.140
,,,,,,,,,,,,
Amador,4/1/2000,"14,597","10,097","4,500","4,668","3,402",789,477,"4,329",339,7.26%,2.332
Incorporated,1/1/2001,"14,781","10,279","4,502","4,750","3,469",799,482,"4,383",367,7.73%,2.345
,1/1/2002,"15,152","10,614","4,538","4,908","3,595",817,496,"4,498",410,8.35%,2.360
,1/1/2003,"15,353","10,925","4,428","5,060","3,678",851,531,"4,609",451,8.91%,2.370
,1/1/2004,"15,517","11,073","4,444","5,164","3,767",861,536,"4,675",489,9.47%,2.369
,1/1/2005,"15,946","11,479","4,467","5,427","3,884","1,012",531,"4,891",536,9.88%,2.347
,1/1/2006,"16,092","11,647","4,445","5,580","4,030","1,022",528,"5,004",576,10.32%,2.328
,1/1/2007,"16,314","11,712","4,602","5,693","4,137","1,033",523,"5,082",611,10.73%,2.305
,1/1/2008,"15,976","11,788","4,188","5,797","4,228","1,050",519,"5,147",650,11.21%,2.290
,1/1/2009,"16,148","11,697","4,451","5,845","4,263","1,065",517,"5,164",681,11.65%,2.265
,1/1/2010,"16,195","11,793","4,402","5,896","4,308","1,075",513,"5,180",716,12.14%,2.277
,4/1/2010,"16,260","11,850","4,410","5,912","4,323","1,077",512,"5,187",725,12.26%,2.285
,,,,,,,,,,,,
Amador,4/1/2000,"20,503","20,422",81,"10,367","9,225",133,"1,009","8,430","1,937",18.68%,2.423
Balance of County,1/1/2001,"20,714","20,637",77,"10,501","9,367",136,998,"8,488","2,013",19.17%,2.431
,1/1/2002,"21,007","20,915",92,"10,698","9,576",139,983,"8,580","2,118",19.80%,2.438
,1/1/2003,"21,303","21,225",78,"10,917","9,803",146,968,"8,690","2,227",20.40%,2.442
,1/1/2004,"21,444","21,351",93,"11,091","9,987",150,954,"8,764","2,327",20.98%,2.436
,1/1/2005,"21,488","21,405",83,"11,293","10,170",176,947,"8,861","2,432",21.54%,2.416
,1/1/2006,"21,751","21,642",109,"11,598","10,465",192,941,"9,040","2,558",22.06%,2.394
,1/1/2007,"21,711","21,585",126,"11,791","10,648",205,938,"9,129","2,662",22.58%,2.364
,1/1/2008,"21,999","21,870",129,"11,924","10,774",216,934,"9,373","2,551",21.39%,2.333
,1/1/2009,"21,736","21,607",129,"12,020","10,878",220,922,"9,384","2,636",21.93%,2.303
,1/1/2010,"21,816","21,677",139,"12,109","10,976",224,909,"9,390","2,719",22.45%,2.309
,4/1/2010,"21,831","21,690",141,"12,120","10,990",225,905,"9,382","2,738",22.59%,2.312
,,,,,,,,,,,,
Amador,4/1/2000,"35,100","30,519","4,581","15,035","12,627",922,"1,486","12,759","2,276",15.14%,2.392
County Total,1/1/2001,"35,495","30,916","4,579","15,251","12,836",935,"1,480","12,871","2,380",15.61%,2.402
,1/1/2002,"36,159","31,529","4,630","15,606","13,171",956,"1,479","13,078","2,528",16.20%,2.411
,1/1/2003,"36,656","32,150","4,506","15,977","13,481",997,"1,499","13,299","2,678",16.76%,2.417
,1/1/2004,"36,961","32,424","4,537","16,255","13,754","1,011","1,490","13,439","2,816",17.32%,2.413
,1/1/2005,"37,434","32,884","4,550","16,720","14,054","1,188","1,478","13,752","2,968",17.75%,2.391
,1/1/2006,"37,843","33,289","4,554","17,178","14,495","1,214","1,469","14,044","3,134",18.24%,2.370
,1/1/2007,"38,025","33,297","4,728","17,484","14,785","1,238","1,461","14,211","3,273",18.72%,2.343
,1/1/2008,"37,975","33,658","4,317","17,721","15,002","1,266","1,453","14,520","3,201",18.06%,2.318
,1/1/2009,"37,884","33,304","4,580","17,865","15,141","1,285","1,439","14,548","3,317",18.57%,2.289
,1/1/2010,"38,011","33,470","4,541","18,005","15,284","1,299","1,422","14,570","3,435",19.08%,2.297
,4/1/2010,"38,091","33,540","4,551","18,032","15,313","1,302","1,417","14,569","3,463",19.20%,2.302
,,,,,,,,,,,,
Butte,4/1/2000,"1,793","1,793",0,613,533,33,47,571,42,6.85%,3.140
Biggs,1/1/2001,"1,786","1,786",0,613,538,30,45,570,43,7.01%,3.133
,1/1/2002,"1,786","1,786",0,614,544,27,43,570,44,7.17%,3.133
,1/1/2003,"1,783","1,783",0,614,549,24,41,570,44,7.17%,3.128
,1/1/2004,"1,770","1,770",0,614,556,20,38,568,46,7.49%,3.116
,1/1/2005,"1,747","1,747",0,614,562,17,35,567,47,7.65%,3.081
,1/1/2006,"1,722","1,722",0,612,567,14,31,564,48,7.84%,3.053
,1/1/2007,"1,714","1,714",0,614,574,11,29,565,49,7.98%,3.034
,1/1/2008,"1,702","1,702",0,614,581,8,25,564,50,8.14%,3.018
,1/1/2009,"1,705","1,705",0,615,589,4,22,564,51,8.29%,3.023
,1/1/2010,"1,711","1,711",0,617,592,5,20,566,51,8.27%,3.023
,4/1/2010,"1,707","1,707",0,617,594,4,19,565,52,8.43%,3.021
,,,,,,,,,,,,
Butte,4/1/2000,"60,516","56,891","3,625","24,386","12,819","10,934",633,"23,476",910,3.73%,2.423
Chico,1/1/2001,"64,810","60,937","3,873","26,192","13,319","11,758","1,115","25,139","1,053",4.02%,2.424
,1/1/2002,"66,481","62,701","3,780","26,993","13,871","11,970","1,152","25,808","1,185",4.39%,2.430
,1/1/2003,"67,862","64,188","3,674","27,681","14,623","11,895","1,163","26,368","1,313",4.74%,2.434
,1/1/2004,"70,322","66,755","3,567","28,928","15,666","11,898","1,364","27,468","1,460",5.05%,2.430
,1/1/2005,"72,459","68,951","3,508","30,250","16,692","12,190","1,368","28,639","1,611",5.33%,2.408
,1/1/2006,"77,348","73,862","3,486","32,750","18,394","12,886","1,470","30,945","1,805",5.51%,2.387
,1/1/2007,"82,784","79,336","3,448","35,372","19,990","13,448","1,934","33,366","2,006",5.67%,2.378
,1/1/2008,"85,034","81,665","3,369","36,486","20,908","13,639","1,939","34,479","2,007",5.50%,2.369
,1/1/2009,"85,739","82,429","3,310","36,785","21,206","13,639","1,940","34,667","2,118",5.76%,2.378
,1/1/2010,"86,136","82,931","3,205","36,970","21,436","13,582","1,952","34,753","2,217",6.00%,2.386
,4/1/2010,"86,187","83,009","3,178","37,050","21,470","13,625","1,955","34,805","2,245",6.06%,2.385
,,,,,,,,,,,,
Butte,4/1/2000,"5,408","5,286",122,"1,973","1,623",276,74,"1,851",122,6.18%,2.856
Gridley,1/1/2001,"5,531","5,410",121,"2,016","1,671",271,74,"1,885",131,6.50%,2.870
,1/1/2002,"5,694","5,574",120,"2,068","1,729",264,75,"1,927",141,6.82%,2.893
,1/1/2003,"5,796","5,677",119,"2,099","1,766",258,75,"1,948",151,7.19%,2.914
,1/1/2004,"5,806","5,688",118,"2,102","1,776",251,75,"1,944",158,7.52%,2.926
,1/1/2005,"5,761","5,644",117,"2,100","1,779",246,75,"1,934",166,7.90%,2.918
,1/1/2006,"5,989","5,873",116,"2,199","1,879",244,76,"2,021",178,8.09%,2.906
,1/1/2007,"6,250","6,135",115,"2,302","1,989",236,77,"2,109",193,8.38%,2.909
,1/1/2008,"6,466","6,352",114,"2,387","2,080",229,78,"2,182",205,8.59%,2.911
,1/1/2009,"6,532","6,419",113,"2,398","2,098",222,78,"2,185",213,8.88%,2.938
,1/1/2010,"6,589","6,477",112,"2,407","2,115",214,78,"2,186",221,9.18%,2.963
,4/1/2010,"6,584","6,472",112,"2,406","2,115",213,78,"2,183",223,9.27%,2.965
,,,,,,,,,,,,
Butte,4/1/2000,"13,004","12,184",820,"5,419","3,013","2,027",379,"4,881",538,9.93%,2.496
Oroville,1/1/2001,"13,053","12,217",836,"5,403","3,022","2,001",380,"4,872",531,9.83%,2.508
,1/1/2002,"13,201","12,360",841,"5,414","3,063","1,969",382,"4,888",526,9.72%,2.529
,1/1/2003,"13,481","12,635",846,"5,485","3,099","2,004",382,"4,959",526,9.59%,2.548
,1/1/2004,"13,631","12,779",852,"5,516","3,153","1,983",380,"4,994",522,9.46%,2.559
,1/1/2005,"13,762","12,905",857,"5,582","3,244","1,958",380,"5,059",523,9.37%,2.551
,1/1/2006,"13,961","13,099",862,"5,670","3,326","1,963",381,"5,145",525,9.26%,2.546
,1/1/2007,"14,998","14,131",867,"6,119","3,759","1,976",384,"5,556",563,9.20%,2.543
,1/1/2008,"15,063","14,191",872,"6,123","3,790","1,951",382,"5,566",557,9.10%,2.550
,1/1/2009,"15,377","14,499",878,"6,197","3,819","1,998",380,"5,640",557,8.99%,2.571
,1/1/2010,"15,529","14,646",883,"6,198","3,843","1,975",380,"5,648",550,8.87%,2.593
,4/1/2010,"15,546","14,662",884,"6,194","3,846","1,969",379,"5,646",548,8.85%,2.597
,,,,,,,,,,,,
Butte,4/1/2000,"26,408","25,788",620,"12,374","8,874","1,031","2,469","11,591",783,6.33%,2.225
Paradise,1/1/2001,"26,412","25,808",604,"12,418","8,914","1,059","2,445","11,612",806,6.49%,2.223
,1/1/2002,"26,510","25,927",583,"12,497","8,977","1,108","2,412","11,660",837,6.70%,2.224
,1/1/2003,"26,598","26,036",562,"12,574","9,033","1,162","2,379","11,704",870,6.92%,2.225
,1/1/2004,"26,593","26,052",541,"12,645","9,098","1,200","2,347","11,745",900,7.12%,2.218
,1/1/2005,"26,403","25,884",519,"12,720","9,168","1,238","2,314","11,788",932,7.33%,2.196
,1/1/2006,"26,264","25,766",498,"12,800","9,203","1,317","2,280","11,837",963,7.52%,2.177
,1/1/2007,"26,160","25,683",477,"12,838","9,230","1,355","2,253","11,846",992,7.73%,2.168
,1/1/2008,"26,086","25,630",456,"12,894","9,285","1,391","2,218","11,872","1,022",7.93%,2.159
,1/1/2009,"26,146","25,711",435,"12,923","9,313","1,429","2,181","11,872","1,051",8.13%,2.166
,1/1/2010,"26,188","25,775",413,"12,947","9,332","1,467","2,148","11,868","1,079",8.33%,2.172
,4/1/2010,"26,218","25,810",408,"12,981","9,341","1,500","2,140","11,893","1,088",8.38%,2.170
,,,,,,,,,,,,
Butte,4/1/2000,"107,129","101,942","5,187","44,765","26,862","14,301","3,602","42,370","2,395",5.35%,2.406
Incorporated,1/1/2001,"111,592","106,158","5,434","46,642","27,464","15,119","4,059","44,078","2,564",5.50%,2.408
,1/1/2002,"113,672","108,348","5,324","47,586","28,184","15,338","4,064","44,853","2,733",5.74%,2.416
,1/1/2003,"115,520","110,319","5,201","48,453","29,070","15,343","4,040","45,549","2,904",5.99%,2.422
,1/1/2004,"118,122","113,044","5,078","49,805","30,249","15,352","4,204","46,719","3,086",6.20%,2.420
,1/1/2005,"120,132","115,131","5,001","51,266","31,445","15,649","4,172","47,987","3,279",6.40%,2.399
,1/1/2006,"125,284","120,322","4,962","54,031","33,369","16,424","4,238","50,512","3,519",6.51%,2.382
,1/1/2007,"131,906","126,999","4,907","57,245","35,542","17,026","4,677","53,442","3,803",6.64%,2.376
,1/1/2008,"134,351","129,540","4,811","58,504","36,644","17,218","4,642","54,663","3,841",6.57%,2.370
,1/1/2009,"135,499","130,763","4,736","58,918","37,025","17,292","4,601","54,928","3,990",6.77%,2.381
,1/1/2010,"136,153","131,540","4,613","59,139","37,318","17,243","4,578","55,020","4,119",6.96%,2.391
,4/1/2010,"136,242","131,660","4,582","59,248","37,366","17,311","4,571","55,092","4,156",7.01%,2.390
,,,,,,,,,,,,
Butte,4/1/2000,"96,042","95,385",657,"40,758","27,179","2,986","10,593","37,196","3,562",8.74%,2.564
Balance of County,1/1/2001,"92,999","92,363",636,"39,506","27,311","2,151","10,044","35,996","3,510",8.88%,2.566
,1/1/2002,"93,270","92,663",607,"39,612","27,647","2,063","9,902","36,015","3,597",9.08%,2.573
,1/1/2003,"93,869","93,291",578,"39,866","27,957","2,114","9,795","36,170","3,696",9.27%,2.579
,1/1/2004,"93,297","92,747",550,"39,744","28,147","2,111","9,486","35,982","3,762",9.47%,2.578
,1/1/2005,"92,823","92,302",521,"39,960","28,011","2,115","9,834","36,103","3,857",9.65%,2.557
,1/1/2006,"89,406","88,913",493,"38,815","27,203","1,553","10,059","34,981","3,834",9.88%,2.542
,1/1/2007,"84,495","84,042",453,"36,926","26,011","1,186","9,729","33,083","3,843",10.41%,2.540
,1/1/2008,"83,450","83,026",424,"36,622","25,689","1,166","9,767","32,730","3,892",10.63%,2.537
,1/1/2009,"83,388","82,992",396,"36,485","25,640","1,237","9,608","32,529","3,956",10.84%,2.551
,1/1/2010,"83,814","83,447",367,"36,579","25,732","1,307","9,540","32,538","4,041",11.05%,2.565
,4/1/2010,"83,758","83,398",360,"36,587","25,754","1,324","9,509","32,526","4,061",11.10%,2.564
,,,,,,,,,,,,
Butte,4/1/2000,"203,171","197,327","5,844","85,523","54,041","17,287","14,195","79,566","5,957",6.97%,2.480
County Total,1/1/2001,"204,591","198,521","6,070","86,148","54,775","17,270","14,103","80,074","6,074",7.05%,2.479
,1/1/2002,"206,942","201,011","5,931","87,198","55,831","17,401","13,966","80,868","6,330",7.26%,2.486
,1/1/2003,"209,389","203,610","5,779","88,319","57,027","17,457","13,835","81,719","6,600",7.47%,2.492
,1/1/2004,"211,419","205,791","5,628","89,549","58,396","17,463","13,690","82,701","6,848",7.65%,2.488
,1/1/2005,"212,955","207,433","5,522","91,226","59,456","17,764","14,006","84,090","7,136",7.82%,2.467
,1/1/2006,"214,690","209,235","5,455","92,846","60,572","17,977","14,297","85,493","7,353",7.92%,2.447
,1/1/2007,"216,401","211,041","5,360","94,171","61,553","18,212","14,406","86,525","7,646",8.12%,2.439
,1/1/2008,"217,801","212,566","5,235","95,126","62,333","18,384","14,409","87,393","7,733",8.13%,2.432
,1/1/2009,"218,887","213,755","5,132","95,403","62,665","18,529","14,209","87,457","7,946",8.33%,2.444
,1/1/2010,"219,967","214,987","4,980","95,718","63,050","18,550","14,118","87,558","8,160",8.53%,2.455
,4/1/2010,"220,000","215,058","4,942","95,835","63,120","18,635","14,080","87,618","8,217",8.57%,2.454
,,,,,,,,,,,,
Calaveras,4/1/2000,"3,004","3,004",0,"1,422",973,235,214,"1,286",136,9.56%,2.336
Angels City,1/1/2001,"3,165","3,161",4,"1,498","1,046",237,215,"1,346",152,10.15%,2.348
,1/1/2002,"3,341","3,333",8,"1,592","1,139",237,216,"1,420",172,10.80%,2.347
,1/1/2003,"3,450","3,437",13,"1,648","1,191",239,218,"1,459",189,11.47%,2.356
,1/1/2004,"3,575","3,557",18,"1,707","1,247",241,219,"1,501",206,12.07%,2.370
,1/1/2005,"3,649","3,627",22,"1,761","1,299",241,221,"1,538",223,12.66%,2.358
,1/1/2006,"3,702","3,675",27,"1,811","1,345",243,223,"1,572",239,13.20%,2.338
,1/1/2007,"3,753","3,721",32,"1,858","1,388",245,225,"1,604",254,13.67%,2.320
,1/1/2008,"3,799","3,763",36,"1,898","1,427",245,226,"1,629",269,14.17%,2.310
,1/1/2009,"3,819","3,778",41,"1,924","1,450",247,227,"1,642",282,14.66%,2.301
,1/1/2010,"3,831","3,785",46,"1,939","1,461",249,229,"1,644",295,15.21%,2.302
,4/1/2010,"3,836","3,789",47,"1,943","1,465",249,229,"1,645",298,15.34%,2.303
,,,,,,,,,,,,
Calaveras,4/1/2000,"3,004","3,004",0,"1,422",973,235,214,"1,286",136,9.56%,2.336
Incorporated,1/1/2001,"3,165","3,161",4,"1,498","1,046",237,215,"1,346",152,10.15%,2.348
,1/1/2002,"3,341","3,333",8,"1,592","1,139",237,216,"1,420",172,10.80%,2.347
,1/1/2003,"3,450","3,437",13,"1,648","1,191",239,218,"1,459",189,11.47%,2.356
,1/1/2004,"3,575","3,557",18,"1,707","1,247",241,219,"1,501",206,12.07%,2.370
,1/1/2005,"3,649","3,627",22,"1,761","1,299",241,221,"1,538",223,12.66%,2.358
,1/1/2006,"3,702","3,675",27,"1,811","1,345",243,223,"1,572",239,13.20%,2.338
,1/1/2007,"3,753","3,721",32,"1,858","1,388",245,225,"1,604",254,13.67%,2.320
,1/1/2008,"3,799","3,763",36,"1,898","1,427",245,226,"1,629",269,14.17%,2.310
,1/1/2009,"3,819","3,778",41,"1,924","1,450",247,227,"1,642",282,14.66%,2.301
,1/1/2010,"3,831","3,785",46,"1,939","1,461",249,229,"1,644",295,15.21%,2.302
,4/1/2010,"3,836","3,789",47,"1,943","1,465",249,229,"1,645",298,15.34%,2.303
,,,,,,,,,,,,
Calaveras,4/1/2000,"37,550","37,125",425,"21,524","18,886",615,"2,023","15,183","6,341",29.46%,2.445
Balance of County,1/1/2001,"37,877","37,446",431,"21,724","19,094",626,"2,004","15,243","6,481",29.83%,2.457
,1/1/2002,"38,432","37,999",433,"22,223","19,564",647,"2,012","15,486","6,737",30.32%,2.454
,1/1/2003,"39,201","38,771",430,"22,734","20,042",663,"2,029","15,738","6,996",30.77%,2.464
,1/1/2004,"39,979","39,554",425,"23,206","20,480",681,"2,045","15,962","7,244",31.22%,2.478
,1/1/2005,"40,699","40,244",455,"23,893","21,124",699,"2,070","16,338","7,555",31.62%,2.463
,1/1/2006,"41,342","40,884",458,"24,638","21,848",726,"2,064","16,755","7,883",32.00%,2.440
,1/1/2007,"41,724","41,264",460,"25,214","22,418",746,"2,050","17,053","8,161",32.37%,2.420
,1/1/2008,"41,871","41,415",456,"25,587","22,802",762,"2,023","17,207","8,380",32.75%,2.407
,1/1/2009,"41,813","41,352",461,"25,815","23,045",784,"1,986","17,260","8,555",33.14%,2.396
,1/1/2010,"41,771","41,313",458,"25,959","23,214",810,"1,935","17,252","8,707",33.54%,2.395
,4/1/2010,"41,742","41,296",446,"25,982","23,251",813,"1,918","17,241","8,741",33.64%,2.395
,,,,,,,,,,,,
Calaveras,4/1/2000,"40,554","40,129",425,"22,946","19,859",850,"2,237","16,469","6,477",28.23%,2.437
County Total,1/1/2001,"41,042","40,607",435,"23,222","20,140",863,"2,219","16,589","6,633",28.56%,2.448
,1/1/2002,"41,773","41,332",441,"23,815","20,703",884,"2,228","16,906","6,909",29.01%,2.445
,1/1/2003,"42,651","42,208",443,"24,382","21,233",902,"2,247","17,197","7,185",29.47%,2.454
,1/1/2004,"43,554","43,111",443,"24,913","21,727",922,"2,264","17,463","7,450",29.90%,2.469
